AssetName,PackageName,Class,Path,Depth,SizeBytes,Mode,ParentPackage,IsCircular,IsUnusedCandidate
MI_WhirlWind_Moon_01BG,/Game/07_FX/CombatVFX/HealPositive/__GenericSource/Material/MI/MI_WhirlWind_Moon_01BG,MaterialInstanceConstant,/Game/07_FX/CombatVFX/HealPositive/__GenericSource/Material/MI,2,9922,Dependencies,/Game/07_FX/CombatVFX/HealPositive/NS/Vfx_SpeedUp,false,false
MI_ParticleSubUV_fog03_88,/Game/07_FX/CombatVFX/HealPositive/__GenericSource/Material/MI/MI_ParticleSubUV_fog03_88,MaterialInstanceConstant,/Game/07_FX/CombatVFX/HealPositive/__GenericSource/Material/MI,2,8044,Dependencies,/Game/07_FX/CombatVFX/HealPositive/NS/Vfx_SpeedUp,false,false
MI_Gradient_UVS_gale,/Game/07_FX/CombatVFX/HealPositive/__GenericSource/Material/MI/MI_Gradient_UVS_gale,MaterialInstanceConstant,/Game/07_FX/CombatVFX/HealPositive/__GenericSource/Material/MI,2,11643,Dependencies,/Game/07_FX/CombatVFX/HealPositive/NS/Vfx_SpeedUp,false,false
MI_DecalSpell_Twist_wind02,/Game/07_FX/CombatVFX/HealPositive/__GenericSource/Material/MI/MI_DecalSpell_Twist_wind02,MaterialInstanceConstant,/Game/07_FX/CombatVFX/HealPositive/__GenericSource/Material/MI,2,10233,Dependencies,/Game/07_FX/CombatVFX/HealPositive/NS/Vfx_SpeedUp,false,false
MI_DecalSpell_CircleRing,/Game/07_FX/CombatVFX/HealPositive/__GenericSource/Material/MI/MI_DecalSpell_CircleRing,MaterialInstanceConstant,/Game/07_FX/CombatVFX/HealPositive/__GenericSource/Material/MI,2,9895,Dependencies,/Game/07_FX/CombatVFX/HealPositive/NS/Vfx_SpeedUp,false,false
SM_WindSphere,/Game/07_FX/CombatVFX/HealPositive/__GenericSource/FBX/SM_WindSphere,StaticMesh,/Game/07_FX/CombatVFX/HealPositive/__GenericSource/FBX,2,28621,Dependencies,/Game/07_FX/CombatVFX/HealPositive/NS/Vfx_SpeedUp,false,false
SM_Shape_Cube,/Game/07_FX/CombatVFX/HealPositive/__GenericSource/FBX/SM_Shape_Cube,StaticMesh,/Game/07_FX/CombatVFX/HealPositive/__GenericSource/FBX,2,16890,Dependencies,/Game/07_FX/CombatVFX/HealPositive/NS/Vfx_SpeedUp,false,false
sfx_DefUP_Cue,/Game/07_FX/CombatVFX/HealPositive/SFX/sfx_DefUP_Cue,SoundCue,/Game/07_FX/CombatVFX/HealPositive/SFX,1,4314,Dependencies,/Game/01_Character/01_Player/BP_CPlayer,false,false
sfx_DefUP,/Game/07_FX/CombatVFX/HealPositive/SFX/sfx_DefUP,SoundWave,/Game/07_FX/CombatVFX/HealPositive/SFX,2,381486,Dependencies,/Game/07_FX/CombatVFX/HealPositive/SFX/sfx_DefUP_Cue,false,false
sfx_speedUp_Cue,/Game/07_FX/CombatVFX/HealPositive/SFX/sfx_speedUp_Cue,SoundCue,/Game/07_FX/CombatVFX/HealPositive/SFX,1,4328,Dependencies,/Game/01_Character/01_Player/BP_CPlayer,false,false
sfx_speedUp,/Game/07_FX/CombatVFX/HealPositive/SFX/sfx_speedUp,SoundWave,/Game/07_FX/CombatVFX/HealPositive/SFX,2,346253,Dependencies,/Game/07_FX/CombatVFX/HealPositive/SFX/sfx_speedUp_Cue,false,false
Sfx_Weapon_CurvedSword_Cue,/Game/07_FX/CombatVFX/SlashHitVFX/__GenericSource/SFX/Sfx_Weapon_CurvedSword_Cue,SoundCue,/Game/07_FX/CombatVFX/SlashHitVFX/__GenericSource/SFX,1,4503,Dependencies,/Game/01_Character/01_Player/BP_CPlayer,false,false
Sfx_Weapon_CurvedSword,/Game/07_FX/CombatVFX/SlashHitVFX/__GenericSource/SFX/Sfx_Weapon_CurvedSword,SoundWave,/Game/07_FX/CombatVFX/SlashHitVFX/__GenericSource/SFX,2,283615,Dependencies,/Game/07_FX/CombatVFX/SlashHitVFX/__GenericSource/SFX/Sfx_Weapon_CurvedSword_Cue,false,false
NS_Hit_Sword_Blue,/Game/07_FX/CombatVFX/SlashHitVFX/NS/NS_Hit_Sword_Blue,NiagaraSystem,/Game/07_FX/CombatVFX/SlashHitVFX/NS,1,3140836,Dependencies,/Game/01_Character/01_Player/BP_CPlayer,false,false
Sfx_Hit_Sword_Cue,/Game/07_FX/CombatVFX/SlashHitVFX/__GenericSource/SFX/Sfx_Hit_Sword_Cue,SoundCue,/Game/07_FX/CombatVFX/SlashHitVFX/__GenericSource/SFX,2,4506,Dependencies,/Game/07_FX/CombatVFX/SlashHitVFX/NS/NS_Hit_Sword_Blue,false,false
NE_noise_burst,/Game/07_FX/CombatVFX/SlashHitVFX/__GenericSource/NE/NE_noise_burst,NiagaraEmitter,/Game/07_FX/CombatVFX/SlashHitVFX/__GenericSource/NE,2,459829,Dependencies,/Game/07_FX/CombatVFX/SlashHitVFX/NS/NS_Hit_Sword_Blue,false,false
MI_Vfx_Basic_center04,/Game/07_FX/CombatVFX/SlashHitVFX/__GenericSource/Material/MI/MI_Vfx_Basic_center04,MaterialInstanceConstant,/Game/07_FX/CombatVFX/SlashHitVFX/__GenericSource/Material/MI,2,9280,Dependencies,/Game/07_FX/CombatVFX/SlashHitVFX/NS/NS_Hit_Sword_Blue,false,false
MI_Vfx_ParticleSubUV_Stamp_HitSword_22,/Game/07_FX/CombatVFX/SlashHitVFX/__GenericSource/Material/MI/MI_Vfx_ParticleSubUV_Stamp_HitSword_22,MaterialInstanceConstant,/Game/07_FX/CombatVFX/SlashHitVFX/__GenericSource/Material/MI,2,9946,Dependencies,/Game/07_FX/CombatVFX/SlashHitVFX/NS/NS_Hit_Sword_Blue,false,false
MI_Vfx_Basic_Circle_Stick,/Game/07_FX/CombatVFX/SlashHitVFX/__GenericSource/Material/MI/MI_Vfx_Basic_Circle_Stick,MaterialInstanceConstant,/Game/07_FX/CombatVFX/SlashHitVFX/__GenericSource/Material/MI,2,9924,Dependencies,/Game/07_FX/CombatVFX/SlashHitVFX/NS/NS_Hit_Sword_Blue,false,false
MI_Vfx_Basic_Circle_Fist,/Game/07_FX/CombatVFX/SlashHitVFX/__GenericSource/Material/MI/MI_Vfx_Basic_Circle_Fist,MaterialInstanceConstant,/Game/07_FX/CombatVFX/SlashHitVFX/__GenericSource/Material/MI,2,8959,Dependencies,/Game/07_FX/CombatVFX/SlashHitVFX/NS/NS_Hit_Sword_Blue,false,false
MI_Vfx_Basic_Circle_Block,/Game/07_FX/CombatVFX/SlashHitVFX/__GenericSource/Material/MI/MI_Vfx_Basic_Circle_Block,MaterialInstanceConstant,/Game/07_FX/CombatVFX/SlashHitVFX/__GenericSource/Material/MI,2,9991,Dependencies,/Game/07_FX/CombatVFX/SlashHitVFX/NS/NS_Hit_Sword_Blue,false,false
MI_Vfx_Basic_center_Flash01,/Game/07_FX/CombatVFX/SlashHitVFX/__GenericSource/Material/MI/MI_Vfx_Basic_center_Flash01,MaterialInstanceConstant,/Game/07_FX/CombatVFX/SlashHitVFX/__GenericSource/Material/MI,2,8947,Dependencies,/Game/07_FX/CombatVFX/SlashHitVFX/NS/NS_Hit_Sword_Blue,false,false
M_Parry_Sword_Up_L,/Game/04_Montage/Defense/01_Parry/M_Parry_Sword_Up_L,AnimMontage,/Game/04_Montage/Defense/01_Parry,1,12127,Dependencies,/Game/01_Character/01_Player/BP_CPlayer,false,false
SKM_Quinn_Portfolio_Skeleton,/Game/01_Character/Mesh/Mesh/SKM_Quinn_Portfolio_Skeleton,Skeleton,/Game/01_Character/Mesh/Mesh,2,29309,Dependencies,/Game/04_Montage/Defense/01_Parry/M_Parry_Sword_Up_L,false,false
PF_Parry_Sword_Up_L_Short,/Game/03_Animation/02_Defense/01_Parry/Custom/PF_Parry_Sword_Up_L_Short,AnimSequence,/Game/03_Animation/02_Defense/01_Parry/Custom,2,240085,Dependencies,/Game/04_Montage/Defense/01_Parry/M_Parry_Sword_Up_L,false,false
Sfx_Hit_SwordDagger,/Game/07_FX/CombatVFX/SlashHitVFX/__GenericSource/SFX/Sfx_Hit_SwordDagger,SoundWave,/Game/07_FX/CombatVFX/SlashHitVFX/__GenericSource/SFX,1,204147,Dependencies,/Game/01_Character/01_Player/BP_CPlayer,false,false
